algorithm,category,size,trial,time_us,char_comparisons
QuickSort,random,100,1,41,14172
QuickSort,random,100,2,29,14172
QuickSort,random,100,3,26,14172
QuickSort,random,100,4,29,14172
QuickSort,random,100,5,24,14172
QuickSort,random,200,1,67,28925
QuickSort,random,200,2,60,28925
QuickSort,random,200,3,55,28925
QuickSort,random,200,4,53,28925
QuickSort,random,200,5,52,28925
QuickSort,random,300,1,106,42657
QuickSort,random,300,2,92,42657
QuickSort,random,300,3,83,42657
QuickSort,random,300,4,79,42657
QuickSort,random,300,5,77,42657
QuickSort,random,400,1,141,59258
QuickSort,random,400,2,133,59258
QuickSort,random,400,3,126,59258
QuickSort,random,400,4,121,59258
QuickSort,random,400,5,122,59258
QuickSort,random,500,1,176,73642
QuickSort,random,500,2,166,73642
QuickSort,random,500,3,159,73642
QuickSort,random,500,4,148,73642
QuickSort,random,500,5,143,73642
QuickSort,random,600,1,220,92459
QuickSort,random,600,2,212,92459
QuickSort,random,600,3,208,92459
QuickSort,random,600,4,199,92459
QuickSort,random,600,5,174,92459
QuickSort,random,700,1,231,108827
QuickSort,random,700,2,220,108827
QuickSort,random,700,3,211,108827
QuickSort,random,700,4,204,108827
QuickSort,random,700,5,197,108827
QuickSort,random,800,1,262,123485
QuickSort,random,800,2,256,123485
QuickSort,random,800,3,245,123485
QuickSort,random,800,4,269,123485
QuickSort,random,800,5,265,123485
QuickSort,random,900,1,300,139832
QuickSort,random,900,2,290,139832
QuickSort,random,900,3,281,139832
QuickSort,random,900,4,283,139832
QuickSort,random,900,5,277,139832
QuickSort,random,1000,1,336,151305
QuickSort,random,1000,2,502,151305
QuickSort,random,1000,3,309,151305
QuickSort,random,1000,4,289,151305
QuickSort,random,1000,5,280,151305
QuickSort,random,1100,1,340,171942
QuickSort,random,1100,2,328,171942
QuickSort,random,1100,3,320,171942
QuickSort,random,1100,4,348,171942
QuickSort,random,1100,5,331,171942
QuickSort,random,1200,1,376,181274
QuickSort,random,1200,2,359,181274
QuickSort,random,1200,3,456,181274
QuickSort,random,1200,4,398,181274
QuickSort,random,1200,5,356,181274
QuickSort,random,1300,1,427,203894
QuickSort,random,1300,2,391,203894
QuickSort,random,1300,3,385,203894
QuickSort,random,1300,4,396,203894
QuickSort,random,1300,5,388,203894
QuickSort,random,1400,1,411,213386
QuickSort,random,1400,2,402,213386
QuickSort,random,1400,3,397,213386
QuickSort,random,1400,4,434,213386
QuickSort,random,1400,5,408,213386
QuickSort,random,1500,1,468,225411
QuickSort,random,1500,2,429,225411
QuickSort,random,1500,3,416,225411
QuickSort,random,1500,4,426,225411
QuickSort,random,1500,5,415,225411
QuickSort,random,1600,1,500,249934
QuickSort,random,1600,2,460,249934
QuickSort,random,1600,3,445,249934
QuickSort,random,1600,4,465,249934
QuickSort,random,1600,5,434,249934
QuickSort,random,1700,1,489,260496
QuickSort,random,1700,2,478,260496
QuickSort,random,1700,3,452,260496
QuickSort,random,1700,4,468,260496
QuickSort,random,1700,5,467,260496
QuickSort,random,1800,1,510,272131
QuickSort,random,1800,2,497,272131
QuickSort,random,1800,3,457,272131
QuickSort,random,1800,4,459,272131
QuickSort,random,1800,5,453,272131
QuickSort,random,1900,1,518,300646
QuickSort,random,1900,2,508,300646
QuickSort,random,1900,3,543,300646
QuickSort,random,1900,4,486,300646
QuickSort,random,1900,5,482,300646
QuickSort,random,2000,1,536,310305
QuickSort,random,2000,2,518,310305
QuickSort,random,2000,3,515,310305
QuickSort,random,2000,4,534,310305
QuickSort,random,2000,5,504,310305
QuickSort,random,2100,1,536,328813
QuickSort,random,2100,2,520,328813
QuickSort,random,2100,3,510,328813
QuickSort,random,2100,4,511,328813
QuickSort,random,2100,5,518,328813
QuickSort,random,2200,1,644,348420
QuickSort,random,2200,2,573,348420
QuickSort,random,2200,3,547,348420
QuickSort,random,2200,4,539,348420
QuickSort,random,2200,5,534,348420
QuickSort,random,2300,1,587,362510
QuickSort,random,2300,2,579,362510
QuickSort,random,2300,3,544,362510
QuickSort,random,2300,4,540,362510
QuickSort,random,2300,5,550,362510
QuickSort,random,2400,1,593,374675
QuickSort,random,2400,2,582,374675
QuickSort,random,2400,3,571,374675
QuickSort,random,2400,4,566,374675
QuickSort,random,2400,5,569,374675
QuickSort,random,2500,1,598,392699
QuickSort,random,2500,2,571,392699
QuickSort,random,2500,3,578,392699
